OG0000847	PFAM short chain dehydrogenase
OG0001413	phosphoserine aminotransferase
OG0000463	RNA-binding protein mei2 homologue
OG0006035	Protein tyrosine kinase
OG0003709	mRNA splicing, via spliceosome
OG0000661	Methionine synthase
OG0000349	PolyA polymerase
OG0000783	DNA replication proofreading
OG0000828	Eukaryotic membrane protein family
OG0000418	phosphatase 2C
OG0005692	Ran GTPase binding
OG0000234	cellular response to caloric restriction
OG0005999	malate-aspartate shuttle
OG0008579	Peroxisome biogenesis factor 1, N-terminal
OG0007793	Threonyl and Alanyl tRNA synthetase second additional domain
OG0000984	Peptidase family S49 N-terminal
OG0000017	Multidrug resistance protein
OG0001323	SAC3/GANP family
OG0001530	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
OG0006902	electron transfer activity
OG0000458	negative regulation of ryanodine-sensitive calcium-release channel activity
OG0008370	Alkylated DNA repair protein
OG0010003	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
OG0004988	Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine
OG0008607	acyl-CoA oxidase activity
OG0003127	Mo25-like
OG0006954	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
OG0002076	PFAM Phosphoglycerate mutase
OG0003636	positive regulation of cellular senescence
OG0006725	Dual specificity phosphatase, catalytic domain
OG0009788	phosphatase 2C
OG0002175	calmodulin-dependent protein kinase activity
OG0009831	This protein binds to 23S rRNA in the presence of protein L20
OG0002662	Ubiquilin 4
OG0008538	Ergosterol biosynthesis ERG4/ERG24 family
OG0000483	Dynein axonemal light intermediate chain 1
OG0001201	Pfam:zf-DHHC
OG0006109	Methyltransferase-like protein
OG0008141	protein serine/threonine kinase activity
OG0000678	Phosphoglucomutase
OG0008337	Alpha beta hydrolase
OG0000534	Cell differentiation protein rcd1. Source PGD
OG0009942	Ribonuclease P MRP 30 subunit
OG0000885	Stress protein
OG0000702	Protein of unknown function (DUF667)
OG0006714	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
OG0000074	O-methyltransferase
OG0004068	Interferon-inducible GTPase (IIGP)
OG0001407	iron ion binding
OG0003625	Carboxylesterase family
OG0000558	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
OG0000148	ATP-binding cassette sub-family A
OG0000881	lipoprotein localization
OG0003506	regulation of choline O-acetyltransferase activity
OG0008805	Calcium-dependent protein kinase
OG0002515	Xeroderma pigmentosum G N-region
OG0002254	photosynthetic electron transport chain
OG0006677	Phosphopantetheine adenylyltransferase
OG0004993	2-alkenal reductase [NAD(P)] activity
OG0000900	RNA binding
OG0003892	Leucine rich repeat containing 56
OG0007929	peptide-aspartate beta-dioxygenase activity
OG0003129	Nucleotide-sugar transporter
OG0008258	PPPDE putative peptidase domain
OG0000870	positive regulation of endocytic recycling
OG0005771	Belongs to the sterol desaturase family
OG0000564	Ecotropic viral integration site
OG0000322	ATP binding
OG0009391	Trna 2-selenouridine synthase
OG0004932	DnaJ like subfamily A member 2
OG0003311	acetylcholinesterase activity
OG0007834	gtp-binding protein
OG0006165	hydrolase activity
OG0001537	PFAM Glycosyl transferase, group 1
OG0008171	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII
OG0008190	UDP-N-acetylglucosamine transferase subunit alg13
OG0008797	MgtC family
OG0005792	unfolded protein binding
OG0008011	Phosphoglycerate mutase family
OG0001185	phosphoglycerate dehydrogenase activity
OG0002623	cyclin-dependent protein serine/threonine kinase activity
OG0001054	snRNP Sm proteins
OG0002734	Belongs to the eukaryotic ribosomal protein P1 P2 family
OG0006401	post-chaperonin tubulin folding pathway
OG0004274	CRAL/TRIO domain
OG0003975	ornithine decarboxylase activity
OG0007142	ubiE/COQ5 methyltransferase family
OG0008225	Antibiotic biosynthesis monooxygenase
OG0009452	protein-arginine omega-N asymmetric methyltransferase activity
OG0003612	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0001246	GTP-binding Protein
OG0006063	Spizellomyces punctatus DAOM BR117
OG0002879	threonine-type endopeptidase activity
OG0001014	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
OG0008353	Nucleolar protein 10
OG0000033	Potassium voltage-gated channel subfamily A member
OG0000653	Major Facilitator Superfamily
OG0002168	Component of the PAN1 actin cytoskeleton-regulatory complex required for the internalization of endosomes during actin-coupled endocytosis. The complex links the site of endocytosis to the cell membrane-associated actin cytoskeleton. Mediates uptake of external molecules and vacuolar degradation of plasma membrane proteins. Plays a role in the proper organization of the cell membrane-associated actin cytoskeleton and promotes its destabilization (By similarity)
OG0008729	Responsible for synthesis of pseudouridine from uracil
OG0009218	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
OG0005821	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0000034	Chlorophyll A-B binding protein
OG0003754	ADP-ribosylation factor GTPase-activating protein
OG0001322	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
OG0006654	protein serine/threonine kinase activity
OG0005764	PFAM SpoU rRNA Methylase family
OG0008613	Belongs to the PI3 PI4-kinase family
OG0000719	protein-disulfide reductase activity
OG0005477	UbiA prenyltransferase family
OG0005395	serine threonine protein kinase
OG0006419	macroautophagy
OG0002365	Regulator of nonsense transcripts 1 homolog
OG0000113	Serine Threonine protein
OG0000214	NADP transhydrogenase
OG0000449	Glycosyl hydrolase family 3 N terminal domain
OG0007410	Phytanoyl-CoA dioxygenase (PhyH)
OG0004840	Nitronate monooxygenase
OG0004265	Belongs to the DEAD box helicase family
OG0009013	serine-type endopeptidase activity
OG0007103	protein serine/threonine phosphatase activity
OG0001959	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0009414	calcium-dependent cysteine-type endopeptidase activity
OG0000756	Signal recognition particle receptor beta subunit
OG0002748	RNA-binding protein mei2 homologue
OG0002030	digalactosyldiacylglycerol synthase activity
OG0009359	proline hydroxylase
OG0005957	Glycosyl hydrolases family 43
OG0003788	Dynein light chain protein
OG0008354	Belongs to the small Tim family
OG0000783	DNA polymerase family B
OG0005749	Sucrose-6F-phosphate phosphohydrolase
OG0001954	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0002380	Rhomboid family
OG0006670	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
OG0006562	COG5285 Protein involved in biosynthesis of mitomycin antibiotics polyketide fumonisin
OG0010123	Tubulin-tyrosine ligase family
OG0000412	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin
OG0000736	Ring finger protein 11
OG0007328	Gpi-anchor transamidase
OG0003260	protein C15orf26 homolog
OG0002575	Nicotinamidase
OG0000033	delayed rectifier potassium channel activity
OG0002768	G-patch domain-containing protein
OG0001190	Domain of unknown function (DUF1977)
OG0001996	L-carnitine dehydratase bile acid-inducible protein F
OG0005002	-
OG0009997	peptidyl-histidine dephosphorylation
OG0000582	endo-1,3(4)-beta-glucanase
OG0004570	flagellar calcium-binding protein
OG0001139	DHHC palmitoyltransferase
OG0004531	Acetyltransferase (GNAT) domain
OG0002491	belongs to the protein kinase superfamily
OG0004517	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin
OG0002385	protein kinase activity
OG0001328	Glycine-rich RNA-binding protein
OG0000130	Peptidylprolyl isomerase
OG0003297	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
OG0008929	neutral amino acid transmembrane transporter activity
OG0006088	CH-like domain in sperm protein
OG0003216	Belongs to the aldehyde dehydrogenase family
OG0003150	phytanoyl-CoA dioxygenase
OG0003258	sulfite oxidase
OG0002578	lectin protein kinase family
OG0001553	metalloexopeptidase activity
OG0000561	Serine threonine-protein kinase sepA-like
OG0000116	Cobalamin synthesis protein cobW C-terminal domain
OG0003118	aspartic-type endopeptidase activity. It is involved in the biological process described with proteolysis
OG0008927	Source PGD
OG0006789	ribosomal protein L33
OG0001872	4'-phosphopantetheinyl transferase superfamily
OG0005675	potassium:proton antiporter activity
OG0009930	microtubule motor activity
OG0008014	phosphatase 2C
OG0009890	RING-like zinc finger
OG0000487	Pyridine nucleotide-disulphide oxidoreductase
OG0002705	p21 Cdc42 Rac1-activated kinase 1
OG0001494	Aminotransferase class I and II
OG0009116	mismatched DNA binding
OG0001641	linker between RRM2 and RRM3 domains in RBM39 protein
OG0000504	Tetratricopeptide repeat
OG0001407	Belongs to the sterol desaturase family
OG0005595	Scramblase
OG0008400	NAD dependent epimerase/dehydratase family
OG0002451	Belongs to the DegT DnrJ EryC1 family
OG0007013	3',5'-cyclic-nucleotide phosphodiesterase activity
OG0008036	Rubisco LSMT substrate-binding
OG0003428	Ricin-type beta-trefoil
OG0009798	protein-cysteine S-palmitoyltransferase activity
OG0003646	Cysteine-rich domain
OG0000576	PRMT5 arginine-N-methyltransferase
OG0000495	glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group
OG0009495	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
OG0001225	spliceosomal snRNP assembly
OG0000555	Beta2-adaptin appendage, C-terminal sub-domain
OG0004899	SRP19 protein
OG0008340	serine-type carboxypeptidase activity
OG0002560	Beta-amylase
OG0006978	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
OG0000549	dual specificity protein phosphatase
OG0000487	Oxidoreductase
OG0002698	Inositol monophosphatase family
OG0010103	Testis expressed 9
OG0001930	Cold shock protein domain
OG0005156	Protein of unknown function (DUF2465)
OG0008268	DNA binding
OG0003424	CRT-like, chloroquine-resistance transporter-like
OG0010051	Aldo/keto reductase family
OG0004997	L-ascorbic acid binding
OG0001373	Chaperone protein dnaJ
OG0003419	Methyltransferase domain
OG0000215	ATPase, P-type (transporting), HAD superfamily, subfamily IC
OG0003941	Cys/Met metabolism PLP-dependent enzyme
OG0001443	Mo-molybdopterin cofactor sulfurase activity
OG0000731	Lys63-specific deubiquitinase activity
OG0007938	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0001955	Cytochrome C oxidase, cbb3-type, subunit III
OG0004592	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
OG0010162	Diacylglycerol acyltransferase
OG0001142	Calcium-dependent protein kinase
OG0003672	Small nuclear ribonucleoprotein
OG0005701	Hydroxyacylglutathione hydrolase
OG0007237	AFG1-like ATPase
OG0009934	alpha-ketoglutarate transmembrane transporter activity
OG0007078	Mitochondrial sodium hydrogen exchanger
OG0008499	-
OG0006481	COGs COG0491 Zn-dependent hydrolase including glyoxylase
OG0002452	Protein kinase domain
OG0000501	Alternative oxidase
OG0002406	Natural resistance-associated macrophage protein
OG0006268	vesicle-mediated transport
OG0000812	Component of the replication protein A complex (RPA) required for DNA recombination, repair and replication. The activity of RPA is mediated by single-stranded DNA binding and protein interactions. Probably involved in repair of double-strand DNA breaks (DSBs) induced by genotoxic stresses
OG0007495	dual specificity protein phosphatase
OG0005893	Belongs to the frataxin family
OG0001578	Ring finger domain
OG0001621	ATP- binding
OG0000933	Domain of unknown function (DUF4339)
OG0001745	Mannose-6-phosphate isomerase
OG0007550	Protein tyrosine kinase
OG0008512	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
OG0006200	Belongs to the peptidase S10 family
OG0005428	calmodulin
OG0002027	spectrin binding
OG0000663	ABC transporter, ATP-binding protein
OG0002116	VPS10
OG0008712	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0000131	ribosomal protein
OG0004502	8-hydroxy-dADP phosphatase activity
OG0002430	Belongs to the class-I aminoacyl-tRNA synthetase family
OG0009341	protein deacetylase activity
OG0001324	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0000005	Serine/Threonine protein kinases, catalytic domain
OG0009074	ATP binding
OG0004778	UDP-glucuronate 4-epimerase
OG0006618	Belongs to the DEAD box helicase family
OG0002134	4-nitrophenylphosphatase
OG0000721	activity. It is involved in the biological process described with microtubule-based movement
OG0001080	cell division
OG0004146	GTP-binding protein
OG0001695	tRNA dihydrouridine synthase activity
OG0009849	COG2214 DnaJ-class molecular chaperone
OG0005223	GTPase activator activity
OG0001104	Metallo-beta-lactamase superfamily
OG0006584	RmlD substrate binding domain
OG0001720	tryptamine:oxygen oxidoreductase (deaminating) activity
OG0001139	Belongs to the DHHC palmitoyltransferase family
OG0005284	NAD+ ADP-ribosyltransferase activity
OG0001904	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
OG0003772	regulation of mitotic cell cycle
OG0006143	E3 ubiquitin-protein ligase
OG0000932	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
OG0002035	Small nuclear ribonucleoprotein
OG0006767	Lactation elevated
OG0007256	GIY-YIG catalytic domain
OG0001652	DNA clamp loader activity
OG0004165	protein kinase activity
OG0004543	opsin transport
OG0001799	Oxidoreductase family, NAD-binding Rossmann fold
OG0000489	cell redox homeostasis
OG0001604	NHL repeat containing 2
OG0003108	Family with sequence similarity 151 member
OG0001076	Aldo keto
OG0002141	Core component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junctions on mRNAs
OG0006756	Glycosyl hydrolases family 28
OG0001070	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
OG0002095	Methyltransferase type 11
OG0000721	dynein light chain binding
OG0003868	3,4-dihydroxy-2-butanone 4-phosphate synthase
OG0002012	AarF domain-containing protein kinase
OG0001281	-
OG0003556	Origin recognition complex subunit
OG0008575	beta-galactosidase
OG0007955	Phosphodiesterase 1C, calmodulin-dependent 70kDa
OG0007727	Urea transporter
OG0001966	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen
OG0009760	Sof1-like domain
OG0001911	E3 ubiquitin-protein ligase
OG0006746	Major Facilitator Superfamily
OG0007291	Putative GTP-ase activating proteins for the small GTPase, ARF
OG0000069	structural constituent of ribosome
OG0009681	Thioredoxin
OG0006649	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter
OG0004196	3hydroxyisobutyrate dehydrogenase
OG0009807	oxidation-reduction process
OG0009515	Catalyzes the transfer of selenium from selenophosphate for conversion of 2-thiouridine to 2-selenouridine at the wobble position in tRNA
OG0006999	xap5 circadian
OG0007987	LETM1 domain-containing protein LETM2,mitochondrial
OG0001819	receptor
OG0008363	7SK snRNA binding
OG0000254	Uncharacterized ACR, YdiU/UPF0061 family
OG0002872	aldehyde dehydrogenase (NAD) activity
OG0004498	ATPase activity, coupled to transmembrane movement of substances
OG0001146	strand invasion
OG0007967	Protein ABCI7, chloroplastic
OG0009090	ubiquitin-like protein ligase activity
OG0002411	Methyltransferase domain
OG0000841	Cell wall-active antibiotics response 4TMS YvqF
OG0002439	positive regulation of B cell differentiation
OG0000443	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
OG0010166	Anaphase-promoting complex subunit
OG0000942	aarF domain-containing protein kinase
OG0002730	oxidation-reduction process
OG0007698	N2227
OG0003749	ribosomal protein
OG0001569	Belongs to the adenylate kinase family
OG0000244	tRNA 2'-phosphotransferase 1
OG0002845	Tub family
OG0007936	Calcineurin-like phosphoesterase
OG0008739	lipase class 3
OG0005636	CAF1 family ribonuclease
OG0002068	alpha-1,3-glucosidase activity
OG0005386	COG1680 Beta-lactamase class C and other penicillin binding proteins
OG0001147	sphingolipid transporter activity
OG0002554	calcium-dependent cysteine-type endopeptidase activity
OG0008912	C-4 methylsterol oxidase activity
OG0000407	glutamine metabolic process
OG0004352	retinol dehydrogenase
OG0000688	Prp19/Pso4-like
OG0002336	Major facilitator superfamily
OG0002843	flagellar associated protein. Source PGD
OG0000092	Calcium ion binding
OG0004950	Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins
OG0006761	Belongs to the imidazoleglycerol-phosphate dehydratase family
OG0000596	Transmembrane protein 144
OG0005411	Cupin-like domain
OG0008969	WD40 repeats
OG0005213	PFAM Sodium hydrogen exchanger family
OG0000849	Sugar (and other) transporter
OG0007299	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA
OG0005237	regulation of ARF protein signal transduction
OG0002445	CCR4-associated factor 1 homolog
OG0003282	pre-RNA processing PIH1/Nop17
OG0003369	spermidine synthase activity
OG0003144	phosphoenolpyruvate carboxylase
OG0007889	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins
OG0003996	FAD dependent oxidoreductase
OG0002214	SNARE associated Golgi protein
OG0000639	Protein kinase domain
OG0004237	TraB family
OG0002712	Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose
OG0000312	malic enzyme
OG0002005	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
OG0001259	Belongs to the DHHC palmitoyltransferase family
OG0003477	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone
OG0004483	Putative methyltransferase
OG0002172	ATP-binding cassette sub-family D
OG0003834	Pre-mRNA-splicing factor ISY1 homolog
OG0004641	PFAM RibD C-terminal domain
OG0000065	enolase (1)
OG0003698	Mitochondrial biogenesis AIM24
OG0000075	Efflux ABC transporter, permease ATP-binding protein
OG0008915	Integral membrane protein S linking to the trans Golgi network
OG0005444	Transmembrane protein 65
OG0009161	Belongs to the peroxisomal membrane protein PXMP2 4 family
OG0006077	Trypsin
OG0003119	Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
OG0003407	WD40 repeats
OG0006692	G protein-coupled receptor 89 isoform 5
OG0007503	1,2-diacylglycerol 3-beta-galactosyltransferase activity
OG0007678	Fatty acid desaturase
OG0004471	protein depalmitoylation
OG0001362	Serine threonine protein kinase
OG0008851	dynein, light chain
OG0000288	Sigma factor PP2C-like phosphatases
OG0009171	Belongs to the 3-hydroxyisobutyrate dehydrogenase family
OG0000581	Phosphoribulokinase
OG0004347	RING-like zinc finger
OG0002419	macromolecule glycosylation
OG0001797	tRNA pseudouridine(38 39) synthase
OG0001674	cell redox homeostasis
OG0000300	Thioredoxin
OG0000066	negative regulation of ryanodine-sensitive calcium-release channel activity
OG0001925	deSI-like protein At4g17486
OG0000831	RNA polymerase II CTD heptapeptide repeat kinase activity
OG0004065	oxidoreductase activity
OG0002355	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
OG0007713	negative regulation of pre-miRNA processing
OG0003781	protein conserved in bacteria
OG0006163	protein serine/threonine kinase activity
OG0002973	MAP kinase tyrosine/serine/threonine phosphatase activity
OG0003946	Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall
OG0003043	Protein translocation complex, SEC61 gamma subunit
OG0005603	heat shock protein 70
OG0001642	Belongs to the protein kinase superfamily
OG0006808	to Saccharomyces cerevisiae PUS9 (YDL036C) and RIB2 (YOL066C)
OG0004478	inorganic diphosphatase activity
OG0000111	SMART Cold shock protein
OG0001825	Cysteinyl-tRNA synthetase
OG0005810	Belongs to the purine pyrimidine phosphoribosyltransferase family
OG0003242	Calcium-binding protein
OG0009726	Thioesterase domain
OG0004236	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
OG0008366	repair protein
OG0008514	ATP synthase
OG0009002	Radical SAM superfamily
OG0006179	Calponin homology domain
OG0007389	Belongs to the transketolase family
OG0000343	Belongs to the protein kinase superfamily
OG0000829	Protein tyrosine kinase
OG0000961	Radical S-adenosyl methionine domain-containing protein 2
OG0010022	Belongs to the rubredoxin family
OG0005945	Oxidoreductase
OG0006992	RNA recognition motif
OG0002220	Metallopeptidase family M24
OG0007895	DNA photolyase activity
OG0000353	Lysine methyltransferase
OG0003474	process utilizing autophagic mechanism
OG0009734	2OG-Fe(II) oxygenase
OG0002928	ATP-dependent microtubule motor activity, minus-end-directed
OG0000655	cAMP-dependent protein kinase regulator activity
OG0007226	Lys63-specific deubiquitinase activity
OG0002339	dynein, light chain
OG0003841	acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)
OG0002256	threonine-tRNA ligase
OG0008921	pyrimidine nucleotide-sugar transmembrane transporter activity
OG0006036	aspartic-type endopeptidase activity
OG0007826	meiotic DNA double-strand break processing
OG0003876	3-beta hydroxysteroid dehydrogenase/isomerase family
OG0005332	2OG-Fe(II) oxygenase superfamily
OG0001266	Glucosamine--fructose-6-phosphate aminotransferase
OG0008436	RING finger protein
OG0006499	Necessary for normal cell division and for the maintenance of normal septation
OG0004601	Phospholipid methyltransferase
OG0002831	AN1-like Zinc finger
OG0003838	structural constituent of ribosome
OG0000808	Serine/Threonine protein kinases, catalytic domain
OG0006945	Domain present in VPS9
OG0003767	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
OG0002270	ATPase activity, coupled to transmembrane movement of substances
OG0001702	Source PGD
OG0005344	ubiquitin interaction motif-containing protein
OG0003345	glutathione transferase activity
OG0007248	Beta-lactamase
OG0003054	ribosomal large subunit biogenesis
OG0000527	PPP5 TPR repeat region
OG0000238	Calreticulin
OG0000880	PB1 domain
OG0002029	Tyrosine decarboxylase
OG0005629	phosphatase 2C
OG0002536	Nucleoside diphosphate kinase 7
OG0006482	Methyltransferase-like protein
OG0004552	Transmembrane protein 18
OG0005381	WD40 repeats
OG0002000	R3H domain
OG0004984	F-actin-capping protein subunit beta
OG0001835	NADPHX epimerase activity
OG0004689	CCR4-NOT transcription complex subunit
OG0003458	serine threonine-protein phosphatase
OG0009199	calmodulin-dependent protein kinase activity
OG0009687	Tubulin tyrosine ligase-like family, member 11
OG0004109	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
OG0002664	C-4 methylsterol oxidase activity
OG0009958	PPPDE putative peptidase domain
OG0000862	Belongs to the SecY SEC61-alpha family
OG0005257	Reversible hydration of carbon dioxide
OG0000502	AIG1 family
OG0007670	66 kDa stress
OG0002722	Ubiquitin associated domain
OG0004581	glucose-6-phosphate 1-epimerase activity
OG0005613	Dual specificity protein phosphatase, N-terminal half
OG0003484	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
OG0003315	Sigma factor PP2C-like phosphatases
OG0003878	Dynein light chain type 1
OG0001913	Pro-kumamolisin, activation domain
OG0004986	2. Source PGD
OG0005489	AAR2 protein
OG0009340	Sperm tail C-terminal domain
OG0007093	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
OG0001210	Kelch-like protein 17
OG0008986	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation dephosphorylation
OG0006568	Thioredoxin-like
OG0000015	DEAD-box ATP-dependent RNA helicase
OG0001443	Cysteine desulfurase selenocysteine lyase family PLP dependent transferase superfamily protein
OG0006995	DNA excision repair protein
OG0003963	structural constituent of ribosome
OG0001742	serine threonine-protein kinase Chk2
OG0001298	Small ubiquitinrelated modifier
OG0005136	oxidation-reduction process
OG0000012	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells. Multiple isoforms are involved in various cellular functions such as cytoskeleton structure, cell mobility, chromosome movement and muscle contraction
OG0001955	Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis
OG0006457	ubiquitinyl hydrolase activity
OG0009036	scavenger receptor activity
OG0003183	pyruvate dehydrogenase (acetyl-transferring) kinase activity
OG0010041	K homology RNA-binding domain
OG0001372	Iron-sulfur cluster
OG0001613	Mitochondrial processing peptidase alpha subunit
OG0000679	Formate/nitrite transporter
OG0003808	reductase
OG0000448	positive regulation of hh target transcription factor activity
OG0000243	Non-ribosomal peptide synthetase modules and related proteins
OG0007614	-
OG0008206	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
OG0000660	2-aminoadipate transaminase activity
OG0009533	homologous recombination
OG0002473	Belongs to the actin family
OG0003998	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
OG0001425	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0003558	Ubiquitin carrier protein. Source PGD
OG0000784	Purple acid phosphatase
OG0004780	BTB/POZ domain
OG0006099	Belongs to the serpin family
OG0008661	Removes the formyl group from the N-terminal Met of newly synthesized proteins
OG0000065	eno2,los2
OG0001602	prolyl 4-hydroxylase
OG0000944	procollagen-lysine 5-dioxygenase activity
OG0001315	4-aminobutyrate:pyruvate transaminase activity
OG0005142	Indigoidine synthase A like protein
OG0007162	peptidyl-proline di-hydroxylation
OG0000097	phosphoenolpyruvate carboxykinase (ATP) activity
OG0001928	Initiation factor eIF2 gamma, C terminal
OG0000747	cysteine-type peptidase activity
OG0005404	Glutathione S-transferase
OG0006564	SET and MYND domain containing 3
OG0005892	Microtubule binding
OG0004504	Peptidase family M3
OG0000822	phosphopantetheine binding
OG0004494	Sigma factor PP2C-like phosphatases
OG0000095	Isocitrate lyase
OG0007223	Glycoprotein endo-alpha-1,2-mannosidase-like
OG0008410	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA
OG0002752	Belongs to the adaptor complexes small subunit family
OG0003011	[acyl-carrier-protein] S-malonyltransferase activity
OG0003097	ATP binding
OG0001266	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source
OG0000499	TIGRFAM amino acid adenylation domain
OG0005123	Glycosyltransferase sugar-binding region containing DXD motif
OG0003931	Phytochelatin synthase
OG0007983	Family with sequence similarity 172 member A
