Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum173904	cell redox homeostasis
Breviolum207892	Tubulin-tyrosine ligase family protein
Breviolum76518	FGGY family of carbohydrate kinases, C-terminal domain
Breviolum159053	Flavin containing amine oxidoreductase
Breviolum346	DnaJ molecular chaperone homology domain
Breviolum142003	Belongs to the glycosyl hydrolase 30 family
Breviolum69580	heat shock protein 70
Breviolum28765	Serine threonine-protein phosphatase
Breviolum10597	Domain of unknown function (DUF5127)
Breviolum214828	PWI domain
Breviolum22852	Nitroreductase family
Breviolum213203	Voltage gated chloride channel
Breviolum123220	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
Breviolum18691	Tyrosine 3-monooxygenase tryptophan 5-monooxygenase activation protein, beta polypeptide like
Breviolum65675	RNA helicase
Breviolum65055	solute:proton antiporter activity
Breviolum239866	tyrosine-protein kinase
Breviolum95988	Glutamate synthase 1
Breviolum239924	alpha-tubulin acetylation
Breviolum103069	Belongs to the ATPase C chain family
Breviolum112747	Cellulase (glycosyl hydrolase family 5)
Breviolum18322	2OG-Fe(II) oxygenase superfamily
Breviolum20625	Poly(A) polymerase central domain
Breviolum150654	Kinesin-associated
Breviolum79248	Transporter Component
Breviolum282299	Component of the anaphase promoting complex cyclosome (APC C), a cell cycle-regulated E3 ubiquitin-protein ligase complex that controls progression through mitosis and the G1 phase of the cell cycle
Breviolum151656	Cyclin
Breviolum21136	AAA domain
Breviolum250234	CS domain
Breviolum79339	Ring finger domain
Breviolum84271	tRNA thio-modification
Breviolum141209	Lactation elevated
Breviolum281587	oxidoreductase activity
Breviolum176405	Uncharacterised conserved protein
Breviolum55	N-terminal peptidyl-proline dimethylation
Breviolum155937	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
Breviolum156679	EF-hand domain
Breviolum51548	Glycosyl hydrolases family 16
Breviolum238096	negative regulation of protein localization to nucleolus
Breviolum241343	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
Breviolum214997	Hsp90 protein
Breviolum44856	Clp protease
Breviolum57566	Belongs to the small GTPase superfamily. Arf family
Breviolum36894	breast cancer carboxy-terminal domain
Breviolum22266	PRP38 family
Breviolum124087	Chlorophyll A-B binding protein
Breviolum241940	complex, subunit 2
Breviolum78796	Carbamoyltransferase C-terminus
Breviolum39831	Belongs to the DEAD box helicase family
Breviolum84522	(GTP)-binding protein
Breviolum273208	Belongs to the ubiquitin-conjugating enzyme family
Breviolum19839	Sep15/SelM redox domain
Breviolum209073	N-6 adenine-specific DNA methyltransferase 1
Breviolum16050	von Willebrand factor (vWF) type A domain
Breviolum54100	oxidoreductase activity
Breviolum57451	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
Breviolum37542	positive regulation of Notch signaling pathway
Breviolum141362	Ammonium Transporter Family
Breviolum172709	Dihydrouridine synthase (Dus)
Breviolum50100	P-type ATPase (P-ATPase) superfamily
Breviolum144984	nitrate reductase
Breviolum215719	PLD-like domain
Breviolum172557	Serine-threonine phosophatase 2C
Breviolum177875	iron ion binding
Breviolum17667	guanylate kinase
Breviolum238965	ribosomal protein L24
Breviolum58103	oxidation-reduction process
Breviolum55973	Cytochrome b5-like Heme/Steroid binding domain
Breviolum85386	NADPH-dependent FMN reductase
Breviolum64989	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Breviolum57242	protein serine/threonine phosphatase inhibitor activity
Breviolum22662	DUF4217
Breviolum147416	antiporter activity
Breviolum13450	DDE domain
Breviolum39385	oxidation-reduction process
Breviolum150721	dynactin
Breviolum145764	phosphatase 2c
Breviolum139652	WD40 repeats
Breviolum173497	UPF0187 protein At3g61320
Breviolum143645	It is involved in the biological process described with mRNA splicing, via spliceosome
Breviolum283123	Responsible for synthesis of pseudouridine from uracil
Breviolum57489	A-type (transient outward) potassium channel activity
Breviolum271825	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
Breviolum37835	ATP-binding Cassette (ABC) Superfamily. Source PGD
Breviolum174981	Prolyl 4-hydroxylase alpha subunit homologues.
Breviolum483	acetylesterase activity
Breviolum271597	L-ascorbic acid binding
Breviolum78629	RING-like zinc finger
Breviolum75978	DNA polymerase
Breviolum69959	Protein of unknown function (DUF2854)
Breviolum142721	Domain of unknown function (DUF1966)
Breviolum97885	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
Breviolum65044	metallopeptidase activity
Breviolum94750	asparagine catabolic process via L-aspartate
Breviolum156163	Glutamine cyclotransferase
Breviolum237859	Ethanolamine-phosphate
Breviolum238841	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
Breviolum248559	Cytochrome p450
Breviolum64398	ATPase activity, coupled to transmembrane movement of substances
Breviolum206385	Coproporphyrinogen III oxidase
Breviolum23585	positive regulation of renal water transport
Breviolum95742	Cysteine dioxygenase
Breviolum42693	Transmembrane amino acid transporter protein
Breviolum101261	intraciliary transport
Breviolum81009	Guanylate kinase homologues.
Breviolum241278	Class II Aldolase and Adducin N-terminal domain
Breviolum41710	Chlorophyll A-B binding protein
Breviolum58156	Methyltransferase
Breviolum244675	protein serine/threonine kinase activity
Breviolum208427	Zgc 66475
Breviolum72881	CGMP-dependent protein kinase
Breviolum178001	canonical Wnt signaling pathway involved in osteoblast differentiation
Breviolum103830	Thioredoxin-like protein
Breviolum115161	Sorbitol dehydrogenase
Breviolum154131	Rhodanese Homology Domain
Breviolum64292	RNA methyltransferase
Breviolum271895	Mitochondrial carrier protein
Breviolum128044	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Breviolum217677	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Breviolum33715	Protein involved in biosynthesis of mitomycin antibiotics polyketide fumonisin
Breviolum37380	Golgi organization
Breviolum207258	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum271047	RING-H2 zinc finger domain
Breviolum209583	Glycosyl hydrolases family 16
Breviolum137424	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum99818	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Breviolum51491	Polypeptide N-acetylgalactosaminyltransferase 9
Breviolum193231	procollagen-proline 4-dioxygenase activity
Breviolum113709	Met-10+ like-protein
Breviolum78987	3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing
Breviolum55791	Protein of unknown function (DUF819)
Breviolum148012	ribosomal protein L3
Breviolum59034	ATP-dependent 3'-5' DNA helicase activity
Breviolum54782	ultraviolet-B receptor
Breviolum100346	2-dehydrogenase
Breviolum172335	protein kinase activity
Breviolum66522	Phytoene desaturase
Breviolum21032	E3 ubiquitin-protein ligase
Breviolum45841	RNA recognition motif
Breviolum112581	Aconitate B N-terminal domain
Breviolum104552	dynein light chain binding
Breviolum277554	EF-hand domain
Breviolum238472	ammonium transmembrane transporter activity
Breviolum136811	2OG-Fe(II) oxygenase
Breviolum176884	ATP-grasp domain
Breviolum140223	MOSC domain protein beta barrel domain protein
Breviolum173581	cysteine synthase activity
Breviolum98522	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Breviolum60277	ATPase activity, coupled to transmembrane movement of substances
Breviolum153711	dehydrogenase kinase
Breviolum149056	4Fe-4S single cluster domain
Breviolum158877	Histone methyltransferase that specifically monomethylates 'Lys-4' of histone H3. H3 'Lys-4' methylation represents a specific tag for epigenetic transcriptional activation. Plays a central role in the transcriptional activation of genes
Breviolum48643	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum64704	Protein kinase C, gamma
Breviolum15121	dihydrokaempferol 4-reductase activity
Breviolum171918	AI-2E family transporter
Breviolum271816	argininosuccinate lyase
Breviolum60142	RING-H2 zinc finger domain
Breviolum25467	PFAM Saccharopine dehydrogenase
Breviolum91440	PFAM short chain dehydrogenase
Breviolum126019	response to arachidonic acid
Breviolum244116	pointed-end actin filament capping
Breviolum288939	Serine/Threonine protein kinases, catalytic domain
Breviolum220340	ATP-dependent helicase hrq1
Breviolum73658	Dual specificity phosphatase, catalytic domain
Breviolum8429	Dienelactone hydrolase family
Breviolum100232	Thioredoxin and glutathione reductase family protein
Breviolum39412	Interferon-inducible GTPase
Breviolum10666	protein serine/threonine kinase activity
Breviolum84663	EF-hand domain
Breviolum208862	Belongs to the protein kinase superfamily
Breviolum63436	Ribosomal protein S17
Breviolum74140	NAD kinase b
Breviolum186147	protein serine/threonine kinase activity
Breviolum72851	Belongs to the aldehyde dehydrogenase family
Breviolum155803	ATP-binding cassette, sub-family B (MDR TAP), member 11
Breviolum15058	OTU-like cysteine protease family protein
Breviolum16366	UDP-glucoronosyl and UDP-glucosyl transferase
Breviolum174098	RNA recognition motif-containing protein
Breviolum114185	intramolecular oxidoreductase activity, transposing S-S bonds
Breviolum208531	branching enzyme 1
Breviolum57212	histone demethylase activity (H3-K4 specific)
Breviolum137366	cilium assembly
Breviolum272130	ER to Golgi vesicle-mediated transport
Breviolum50252	Serine threonine-protein kinase
Breviolum25492	methyltransferase activity
Breviolum162597	regulation of cardiac conduction
Breviolum270825	Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
Breviolum103618	metallopeptidase activity
Breviolum89534	Thiol methyltransferase
Breviolum172953	COG0477 Permeases of the major facilitator superfamily
Breviolum273189	Sodium:dicarboxylate symporter family
Breviolum278755	synthase
Breviolum123041	Ubiquitin carboxyl-terminal hydrolase
Breviolum237534	Glycosyl hydrolase family 20, domain 2
Breviolum155909	Pirin C-terminal cupin domain
Breviolum115060	G-protein coupled receptor kinase activity
Breviolum8326	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum207132	Rab subfamily of small GTPases
Breviolum144408	pre-RNA processing PIH1/Nop17
Breviolum136293	tyrosine-tRNA ligase activity
Breviolum272956	alpha-ketoacid dehydrogenase activity
Breviolum60392	NAD+ synthase (glutamine-hydrolyzing) activity
Breviolum94808	ubiquitin-protein transferase activity
Breviolum241001	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Breviolum59224	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Breviolum174376	RNA recognition motif 2
Breviolum153133	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
Breviolum206513	Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Promotes docking of import substrates to the nuclear envelope
Breviolum38713	Formiminotransferase domain, N-terminal subdomain
Breviolum172397	Protein tyrosine kinase
Breviolum160902	RNA recognition motif
Breviolum240876	DnaJ-class molecular chaperone with C-terminal Zn finger domain
Breviolum91282	Catalyzes the exchange of an acyl for a long-chain alkyl group and the formation of the ether bond in the biosynthesis of ether phospholipids
Breviolum104048	Polyadenylate-binding protein 1-B. Source PGD
Breviolum243193	Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
Breviolum73031	Epsin N-terminal homology (ENTH) domain
Breviolum44369	ER-associated misfolded protein catabolic process
Breviolum60063	Beta-ketoacyl synthase, C-terminal domain
Breviolum57902	Adenylate and Guanylate cyclase catalytic domain
Breviolum208165	Camp-dependent protein kinase
Breviolum311404	Nucleotidyltransferase domain
Breviolum274710	Putative tRNA binding domain
Breviolum246192	flagellar associated protein. Source PGD
Breviolum283096	Ribosomal protein L11 methyltransferase (PrmA)
Breviolum87422	structural constituent of ribosome
Breviolum44692	SRP19 protein
Breviolum82464	Dual specificity phosphatase, catalytic domain
Breviolum64344	Domain of unknown function (DUF1989)
Breviolum22974	Glutathione gamma-glutamylcysteinyltransferase
Breviolum109333	ATPase, P-type (transporting), HAD superfamily, subfamily IC
Breviolum73188	Tyrosine decarboxylase
Breviolum107181	Glycosyl hydrolase family 20, catalytic domain
Breviolum80315	Calcium-dependent protein kinase
Breviolum181345	gamma-glutamyl-peptidase activity
Breviolum63656	L-malate dehydrogenase activity
Breviolum48509	ubiquitin-protein transferase activity
Breviolum55200	Regulator of chromosome condensation (RCC1) repeat
Breviolum20520	Aldo/keto reductase family
Breviolum157627	protein deubiquitination
Breviolum57789	polyketide synthase
Breviolum64912	Belongs to the glycosyl hydrolase 2 family
Breviolum116592	O-Methyltransferase
Breviolum206120	calcium ion binding
Breviolum32126	methyltransferase activity
Breviolum44505	cysteine-type peptidase activity
Breviolum94130	chromosome condensation
Breviolum143866	Regulator of chromosome condensation (RCC1) repeat
Breviolum156982	major facilitator superfamily
Breviolum85086	Esterase PHB depolymerase
Breviolum179309	Peptidase S24-like
Breviolum73990	protein folding
Breviolum137754	ATP-dependent microtubule motor activity, minus-end-directed
Breviolum41758	Pathogen-related
Breviolum21183	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum90254	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Breviolum174310	peptide-methionine (S)-S-oxide reductase activity
Breviolum237920	It is involved in the biological process described with proteolysis
Breviolum55219	SET and MYND domain containing 3
Breviolum85431	ciliary receptor clustering involved in smoothened signaling pathway
Breviolum325518	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Breviolum89890	cAMP-dependent protein kinase regulator activity
Breviolum23480	peptidyl-prolyl cis-trans isomerase activity
Breviolum61251	Broad-Complex, Tramtrack and Bric a brac
Breviolum89656	calcium-dependent cysteine-type endopeptidase activity
Breviolum76752	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Breviolum61068	HIT zinc finger
Breviolum70465	Catalyzes the synthesis of activated sulfate
Breviolum75750	oxidoreductase activity
Breviolum75122	nitrite reductase (NAD(P)H) large subunit
Breviolum157375	protein kinase activity
Breviolum286869	ribosomal protein L21
Breviolum277427	voltage-gated chloride channel activity
Breviolum306062	Rhodanase C-terminal
Breviolum143734	regulation of ATP-dependent microtubule motor activity, plus-end-directed
Breviolum55834	Belongs to the eukaryotic-type primase small subunit family
Breviolum32963	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Breviolum45558	ATPase activity, coupled to transmembrane movement of substances
Breviolum66830	regulation of cilium-dependent cell motility
Breviolum84125	superfamily. Protein
Breviolum56915	Belongs to the protein kinase superfamily
Breviolum209562	Haem-binding uptake, Tiki superfamily, ChaN
Breviolum151615	RNA recognition motif
Breviolum64277	Reductase C-terminal
Breviolum95234	tRNA binding
Breviolum16514	deSI-like protein At4g17486
Breviolum32640	AAA domain (dynein-related subfamily)
Breviolum135760	Elongation factor G C-terminus
Breviolum49610	MmgE PrpD family
Breviolum16919	Selenium-binding protein
Breviolum9109	protein heterodimerization activity
Breviolum272079	tRNA (Guanine-1)-methyltransferase
Breviolum174181	Calcium ion binding. It is involved in the biological process described with protein folding
Breviolum282259	cAMP-dependent protein kinase regulatory subunit
Breviolum12341	CDP-alcohol phosphatidyltransferase
Breviolum77575	occurring C-terminal to leucine-rich repeats
Breviolum20826	exonuclease 3'-5'
Breviolum73234	ABC transporter
Breviolum15853	Belongs to the fatty acid desaturase type 1 family
Breviolum50563	-
Breviolum161735	PFAM N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
Breviolum93243	Belongs to the thiolase family
Breviolum82953	calcium ion binding
Breviolum274911	Peptidyl-prolyl cis-trans isomerase
Breviolum79225	cysteine-type endopeptidase activity
Breviolum148582	Ion transport protein
Breviolum154543	In Between Ring fingers
Breviolum115004	Belongs to the universal ribosomal protein uL15 family
Breviolum137140	mitogen-activated protein kinase
Breviolum15947	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
Breviolum149209	5-formyltetrahydrofolate cyclo-ligase family
Breviolum178551	Belongs to the ubiquitin-conjugating enzyme family
Breviolum35925	calcium-dependent cysteine-type endopeptidase activity
Breviolum173471	Small nuclear ribonucleoprotein
Breviolum57886	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Breviolum91416	NatA auxiliary
Breviolum74382	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum241676	Protein phosphatase 2C
Breviolum237459	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Breviolum42741	domain-containing protein
Breviolum241668	exostosin family
Breviolum119023	Belongs to the DHHC palmitoyltransferase family
Breviolum130941	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
Breviolum77064	VRR_NUC
Breviolum221660	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
Breviolum100764	Polyadenylation factor subunit 2
Breviolum56450	Protein tyrosine kinase
Breviolum57798	cilium assembly
Breviolum284102	Belongs to the ubiquitin-conjugating enzyme family
Breviolum308612	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Breviolum122791	water channel activity
Breviolum103226	X-domain of DnaJ-containing
Breviolum65052	Eukaryotic translation initiation factor eIF2A
Breviolum75852	TTK protein kinase
Breviolum69394	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Breviolum45261	G-patch domain
Breviolum206507	WD40 repeats
Breviolum152104	NADPH-hemoprotein reductase activity
Breviolum57484	regulation of vesicle fusion
Breviolum32594	mannosyl-inositol phosphorylceramide biosynthetic process
Breviolum237107	oxidoreductase activity
Breviolum77812	Phosphoenolpyruvate phosphate translocator 2
Breviolum58762	Electron transfer flavoprotein-ubiquinone oxidoreductase. Source PGD
Breviolum57476	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
Breviolum105836	GTP binding
Breviolum70078	Belongs to the MIP aquaporin (TC 1.A.8) family
Breviolum271034	ribosome biogenesis protein
Breviolum185383	dynein heavy chain binding
Breviolum152394	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum205104	Rieske [2Fe-2S] domain
Breviolum53115	ATP binding
Breviolum13662	guanylate cyclase activity
Breviolum55028	Haloacid dehalogenase-like hydrolase
Breviolum75936	procollagen galactosyltransferase activity
Breviolum271631	sepiapterin reductase
Breviolum53463	Carboxylesterase family
Breviolum273007	homolog subfamily C member 9
Breviolum118173	Major facilitator
Breviolum29125	Belongs to the small GTPase superfamily. SAR1 family
Breviolum272945	Domain of unknown function (DUF1966)
Breviolum186927	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Breviolum210170	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
Breviolum66023	NAD dependent epimerase/dehydratase family
Breviolum136904	Cation transporter/ATPase, N-terminus
Breviolum61507	PFAM Rhodanese-like domain
Breviolum37810	prohibitin homologues
Breviolum16341	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
Breviolum316403	XPG N-terminal
Breviolum158953	protein serine/threonine kinase activity
Breviolum151645	DHHC palmitoyltransferase
Breviolum47667	Belongs to the cytochrome b5 family
Breviolum281979	assists the folding of proteins upon ATP hydrolysis
Breviolum17701	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
Breviolum18	cyclin-dependent protein serine/threonine kinase activity
Breviolum96589	WD40 repeats
Breviolum115875	Responsible for synthesis of pseudouridine from uracil
Breviolum239138	peptidase inhibitor activity
Breviolum15997	Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Has also ATPase activity
Breviolum172422	tRNA dihydrouridine synthase activity
Breviolum274367	Belongs to the thiolase family
Breviolum119016	Belongs to the DHHC palmitoyltransferase family
Breviolum156060	arsonoacetate metabolic process
Breviolum125076	nucleic acid binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Breviolum62398	Interferon-inducible GTPase
Breviolum276916	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif
Breviolum69319	Non-ribosomal peptide synthetase modules and related proteins
Breviolum53761	GNS1/SUR4 family
Breviolum66057	Chloroplast import apparatus Tic20-like
Breviolum150386	phospholipase c
Breviolum292622	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Breviolum45857	mago nashi
Breviolum5373	COGs COG1131 ABC-type multidrug transport system ATPase component
Breviolum141084	belongs to the protein kinase superfamily
Breviolum212340	unfolded protein binding
Breviolum204957	cAMP-dependent protein kinase activity
Breviolum209672	Peptide methionine sulfoxide reductase
Breviolum123682	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes
Breviolum278774	Histone deacetylase domain
Breviolum274664	Sugar (and other) transporter
Breviolum207671	iron import into the mitochondrion
Breviolum81499	ER lumen protein retaining receptor
Breviolum32382	calcium-dependent cysteine-type endopeptidase activity
Breviolum152413	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
Breviolum24112	COG1335 Amidases related to nicotinamidase
Breviolum94989	Scaffold protein for the de novo synthesis of iron- sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic 2Fe-2S and 4Fe-4S proteins
Breviolum16282	Amidase
Breviolum238392	Belongs to the peptidase C1 family
Breviolum65081	N-terminal domain of galactosyltransferase
Breviolum208365	ABC transporter
Breviolum172274	-
Breviolum76231	RNA processing
Breviolum44916	Protein of unknown function (DUF2465)
Breviolum277745	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Breviolum23004	Protein phosphatase, Mg2 Mn2 dependent, 1Na
Breviolum58642	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum144324	Acetyl-CoA carboxylase, central region
Breviolum42968	DnaJ domain-containing protein
Breviolum207849	Protein tyrosine kinase
Breviolum76626	calcium-dependent cysteine-type endopeptidase activity
Breviolum136143	CGMP-dependent protein kinase
Breviolum238204	Calcineurin-like phosphoesterase. Source PGD
Breviolum122470	Exostosin family
Breviolum65429	NAD+ binding
Breviolum156601	transcription coactivator activity
Breviolum10423	Pseudouridine synthase TruD Pus7
Breviolum101422	RING-type zinc-finger
Breviolum207181	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Breviolum40240	(GTP)-binding protein
Breviolum317619	Rab subfamily of small GTPases
Breviolum245138	LON peptidase N-terminal domain and RING finger
Breviolum287285	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Breviolum109548	Microtubule binding
Breviolum69363	Allomyces macrogynus ATCC 38327 methylmalonate-semialdehyde dehydrogenase (acylating)
Breviolum22619	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum73985	Ribonuclease B OB domain
Breviolum68480	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 9
Breviolum23406	Domain Homologous to E6-AP Carboxyl Terminus with
Breviolum56389	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
Breviolum72941	Belongs to the protein kinase superfamily
Breviolum110246	3-oxoacyl-[acyl-carrier-protein] synthase activity
Breviolum172958	retinol dehydrogenase
Breviolum73212	CGMP-dependent protein kinase
Breviolum117258	Ribosomal protein S1-like RNA-binding domain
Breviolum118133	Multidrug resistance protein
Breviolum175121	N-acylsphingosine amidohydrolase activity
Breviolum131859	Src substrate cortactin
Breviolum84578	four-way junction helicase activity
Breviolum121853	Source PGD
Breviolum283072	RNA recognition motif domain containing protein
Breviolum87488	Splicing factor 1 helix-hairpin domain
Breviolum66141	prostaglandin-E synthase activity
Breviolum177497	Aminotransferase class-V
Breviolum20487	fatty acid elongation, saturated fatty acid
Breviolum182729	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Breviolum311252	ATP-dependent RNA helicase
Breviolum8264	deSI-like protein
Breviolum69238	ER lumen protein retaining receptor
Breviolum315797	Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Breviolum87241	camk camkl chk1 protein kinase
Breviolum22248	peptidase inhibitor activity
Breviolum25071	unfolded protein binding
Breviolum23419	sequence-specific DNA binding transcription factor activity
Breviolum23737	gamma-glutamylcyclotransferase activity
Breviolum241552	ER membrane protein complex subunit
Breviolum275684	Belongs to the adenylate kinase family
Breviolum12071	Transmembrane amino acid transporter protein
Breviolum141583	Serine/Threonine protein kinases, catalytic domain
Breviolum41860	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Breviolum182944	Regulator of chromosome condensation (RCC1) repeat
Breviolum246232	Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Promotes docking of import substrates to the nuclear envelope
Breviolum50057	tRNA 2'-phosphotransferase
Breviolum152327	pyrimidine deoxyribonucleoside monophosphate catabolic process
Breviolum64666	endocytic recycling
Breviolum80787	Fumarase C-terminus
Breviolum58604	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
Breviolum80803	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum58920	Sodium hydrogen exchanger
Breviolum37471	Ring finger domain
Breviolum69690	Glycosyl hydrolases family 43
Breviolum183657	EF-hand domain
Breviolum63336	TraB family
Breviolum17389	Belongs to the DHHC palmitoyltransferase family
Breviolum60052	oxidoreductase activity
Breviolum121235	Metallo-beta-lactamase domain protein
Breviolum147987	Ubiquilin 4
Breviolum105604	Cytosine-specific methyltransferase
Breviolum280926	annealing helicase activity
Breviolum87412	Gelsolin repeat
Breviolum69871	Lipopolysaccharide kinase (Kdo/WaaP) family
Breviolum37661	protein deglutamylation
Breviolum95821	GTPase activity
Breviolum213013	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Breviolum145683	8-oxo-dGTP phosphohydrolase activity
Breviolum133950	Belongs to the Orn Lys Arg decarboxylase class-II family
Breviolum208155	Threonine synthase N terminus
Breviolum33176	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum86643	Aldo/keto reductase family
Breviolum179450	Dynein heavy chain
